               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.037074,            0.011737,           0.0051452,             0.79415,             0.75913,             0.74962,             0.60852,            0.037458,            0.011458,            0.013199,            0.009226,            0.009226,            0.009226
                  88,            0.036928,            0.011622,           0.0050542,             0.79338,             0.75868,             0.74895,             0.60826,            0.037441,            0.011453,             0.01325,            0.009217,            0.009217,            0.009217
                  89,            0.037003,            0.011702,           0.0053457,             0.79276,             0.76023,             0.74924,             0.60879,            0.037426,            0.011452,            0.013245,            0.009208,            0.009208,            0.009208
                  90,             0.03694,            0.011666,           0.0050999,             0.79341,             0.76036,             0.74983,             0.60906,            0.037408,            0.011446,            0.013254,            0.009199,            0.009199,            0.009199
                  91,              0.0368,            0.011576,           0.0051264,             0.79402,             0.76016,             0.75021,             0.60962,            0.037398,            0.011442,            0.013215,             0.00919,             0.00919,             0.00919
                  92,            0.036876,            0.011638,           0.0051972,              0.7942,             0.75987,             0.75039,             0.61017,            0.037385,            0.011437,            0.013193,            0.009181,            0.009181,            0.009181
                  93,            0.036912,             0.01165,           0.0052108,             0.79415,              0.7603,             0.75048,             0.61025,            0.037368,             0.01143,            0.013175,            0.009172,            0.009172,            0.009172
                  94,            0.036841,            0.011606,           0.0050951,             0.79403,             0.76177,             0.75037,             0.61046,            0.037356,            0.011424,            0.013164,            0.009163,            0.009163,            0.009163
                  95,            0.036804,            0.011569,           0.0051426,             0.79361,             0.76182,             0.75051,             0.61083,            0.037343,            0.011417,            0.013177,            0.009154,            0.009154,            0.009154
                  96,            0.036744,            0.011547,            0.005125,             0.79418,             0.76232,             0.75036,             0.61104,             0.03733,            0.011412,            0.013167,            0.009145,            0.009145,            0.009145
                  97,            0.036852,            0.011657,           0.0052026,             0.79363,             0.76235,             0.74997,             0.61082,            0.037327,            0.011406,            0.013172,            0.009136,            0.009136,            0.009136
                  98,             0.03673,            0.011569,           0.0050368,               0.794,             0.76117,              0.7494,             0.61025,            0.037318,            0.011404,            0.013236,            0.009127,            0.009127,            0.009127
                  99,             0.03681,            0.011611,           0.0051937,             0.79291,             0.76106,             0.74848,             0.60959,             0.03732,             0.01141,            0.013255,            0.009118,            0.009118,            0.009118
                 100,            0.036753,            0.011572,           0.0050834,             0.79384,              0.7608,             0.74831,             0.60944,            0.037313,             0.01141,            0.013266,            0.009109,            0.009109,            0.009109
