               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,            0.044842,            0.024906,           0.0064156,             0.79043,             0.81708,             0.81877,             0.65162,            0.044505,            0.029561,            0.010327,            0.010047,            0.010047,            0.010047
                  54,            0.044802,             0.02484,           0.0064003,              0.7895,             0.81758,             0.81847,             0.65158,            0.044493,            0.029559,            0.010341,            0.010037,            0.010037,            0.010037
                  55,            0.044738,            0.024741,            0.006396,             0.78982,             0.81675,             0.81805,             0.65145,            0.044485,            0.029561,            0.010359,            0.010028,            0.010028,            0.010028
                  56,            0.044639,             0.02453,           0.0063895,             0.79016,              0.8164,             0.81781,             0.65143,            0.044478,            0.029568,            0.010374,            0.010018,            0.010018,            0.010018
                  57,            0.044548,            0.024474,           0.0063753,             0.79038,             0.81548,             0.81726,             0.65121,            0.044471,            0.029577,            0.010382,            0.010009,            0.010009,            0.010009
                  58,            0.044578,            0.024502,           0.0063848,             0.79056,              0.8153,             0.81705,             0.65108,            0.044461,            0.029583,            0.010391,           0.0099993,           0.0099993,           0.0099993
                  59,            0.044576,            0.024542,           0.0063735,             0.79085,             0.81561,             0.81706,             0.65117,            0.044451,            0.029579,            0.010396,           0.0099898,           0.0099898,           0.0099898
                  60,            0.044692,            0.024803,           0.0063909,             0.79109,             0.81526,             0.81683,             0.65108,            0.044441,            0.029575,            0.010398,           0.0099803,           0.0099803,           0.0099803
                  61,             0.04456,            0.024601,           0.0063578,             0.79137,              0.8146,             0.81671,             0.65117,            0.044432,            0.029572,            0.010404,           0.0099708,           0.0099708,           0.0099708
                  62,            0.044397,            0.024295,           0.0063339,             0.79149,             0.81479,             0.81685,             0.65134,            0.044421,            0.029578,            0.010408,           0.0099614,           0.0099614,           0.0099614
                  63,            0.044365,            0.024221,            0.006345,              0.7917,             0.81474,             0.81682,             0.65138,            0.044412,            0.029588,            0.010416,           0.0099519,           0.0099519,           0.0099519
                  64,            0.044468,            0.024406,           0.0063603,             0.79128,             0.81511,             0.81691,             0.65155,            0.044399,            0.029597,            0.010414,           0.0099424,           0.0099424,           0.0099424
                  65,            0.044477,            0.024545,           0.0063636,             0.79156,             0.81512,               0.817,             0.65171,            0.044387,              0.0296,            0.010416,           0.0099329,           0.0099329,           0.0099329
                  66,             0.04438,            0.024294,           0.0063377,             0.79088,             0.81568,             0.81673,             0.65152,            0.044374,            0.029601,            0.010421,           0.0099234,           0.0099234,           0.0099234
                  67,            0.044324,            0.024199,           0.0063214,              0.7912,              0.8158,             0.81663,             0.65134,            0.044369,            0.029611,            0.010429,           0.0099139,           0.0099139,           0.0099139
                  68,            0.044332,            0.024198,           0.0063203,             0.79148,             0.81563,             0.81659,             0.65156,            0.044363,            0.029626,            0.010439,           0.0099044,           0.0099044,           0.0099044
                  69,            0.044301,            0.024244,           0.0063229,             0.79152,             0.81495,             0.81613,             0.65153,            0.044352,            0.029636,            0.010448,            0.009895,            0.009895,            0.009895
                  70,            0.044199,            0.024046,            0.006316,             0.79131,             0.81474,             0.81609,             0.65166,            0.044342,            0.029645,            0.010455,           0.0098855,           0.0098855,           0.0098855
                  71,            0.044165,            0.024048,           0.0062947,             0.79153,             0.81433,             0.81598,             0.65187,            0.044333,            0.029653,            0.010461,            0.009876,            0.009876,            0.009876
                  72,            0.044188,            0.024054,           0.0063033,             0.79225,             0.81453,             0.81585,             0.65173,            0.044326,            0.029656,            0.010464,           0.0098665,           0.0098665,           0.0098665
                  73,            0.044219,            0.024168,           0.0063069,             0.79286,             0.81421,             0.81593,             0.65193,            0.044316,            0.029655,             0.01046,            0.009857,            0.009857,            0.009857
                  74,            0.044165,            0.024107,           0.0063063,             0.79335,              0.8138,             0.81573,             0.65219,            0.044306,             0.02966,            0.010467,           0.0098475,           0.0098475,           0.0098475
